主订单编号,选购商品,收件人,收件人手机号,省,市,区,街道,详细地址,快递信息
"	4837546782206688769",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-薄荷香绿色-(5601028020596),***,***,***,***,***,***,***,中通速递-75501728678913
"	4837546580316468450",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-香橙香橙色-(5601028020619);[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-薄荷香绿色-(5601028020596);葡萄牙进口Renova彩色纸巾抽纸2盒装-混色-(RZH-100050),***,***,***,***,***,***,***,中通速递-75501728681020;中通速递-75501728681020;中通速递-75501728681020
"	4837546511605409133",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-香橙香橙色-(5601028020619),***,***,***,***,***,***,***,中通速递-75501728680873
"	4837546498715702795",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-草莓香红色-(5601028020640),***,***,***,***,***,***,***,中通速递-75501728637916
"	4837546460073055788",葡萄牙进口Renova彩色纸巾抽纸2盒装-混色-(RZH-100050),***,***,***,***,***,***,***,中通速递-75501728681109
"	4837546417108891577",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-芒果香黄色-(5601028020633),***,***,***,***,***,***,***,中通速递-75501728684016
"	4837546412824649648",葡萄牙进口Renova彩色纸巾抽纸2盒装-混色-(RZH-100050),***,***,***,***,***,***,***,中通速递-75501728680940
"	4837546391357721673",葡萄牙进口Renova彩色纸巾抽纸2盒装-混色-(RZH-100050),***,***,***,***,***,***,***,中通速递-75501728681058
"	4837546361315229188",葡萄牙进口Renova彩色纸巾抽纸2盒装-混色-(RZH-100050),***,***,***,***,***,***,***,中通速递-75501728638547
"	4837546004798658059",葡萄牙进口Renova彩色纸巾抽纸2盒装-混色-(RZH-100050),***,***,***,***,***,***,***,中通速递-75501728637916
"	4837546339817299268",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-薰衣草香淡紫-(5601028020657),***,***,***,***,***,***,***,中通速递-75501728626134
"	4837546335522219740",葡萄牙进口Renova彩色纸巾抽纸2盒装-混色-(RZH-100050),***,***,***,***,***,***,***,中通速递-75501728685000
"	4837546331207783760",葡萄牙进口Renova彩色纸巾抽纸2盒装-混色-(RZH-100050),***,***,***,***,***,***,***,中通速递-75501728631037
"	4837546168007173921",葡萄牙进口Renova彩色纸巾抽纸2盒装-混色-(RZH-100050),***,***,***,***,***,***,***,中通速递-75501728625153
"	4837546271078048856",葡萄牙进口Renova彩色纸巾抽纸2盒装-混色-(RZH-100050),***,***,***,***,***,***,***,中通速递-75501728683829
"	4837546228128990384",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-薄荷香绿色-(5601028020596),***,***,***,***,***,***,***,中通速递-75501728685025
"	4837546202361478538",[秋日宠粉福利]葡萄牙进口Renova彩色手帕纸单条装6小包随身装-薰衣草香淡紫-(5601028020657),***,***,***,***,***,***,***,
"	4837546202381701040",葡萄牙进口Renova彩色纸巾抽纸2盒装-绿色-(RZH-100049),***,***,***,***,***,***,***,中通速递-75501728680940
"	4837546189484107484",葡萄牙进口Renova彩色纸巾抽纸2盒装-蓝色-(RZH-100055),***,***,***,***,***,***,***,
